1000 124897
1 1 13
1 1 18
1 1 37
1 1 42
1 1 47
1 1 49
1 1 57
1 1 68
1 1 69
1 1 73
1 1 74
1 1 77
1 1 79
1 1 82
1 1 94
1 1 99
1 1 102
1 1 105
1 1 106
1 1 108
1 1 109
1 1 114
1 1 122
1 1 123
1 1 132
1 1 133
1 1 134
1 1 139
1 1 142
1 1 143
1 1 145
1 1 151
1 1 152
1 1 157
1 1 158
1 1 159
1 1 161
1 1 162
1 1 163
1 1 164
1 1 169
1 1 179
1 1 180
1 1 187
1 1 188
1 1 190
1 1 194
1 1 195
1 1 198
1 1 200
1 1 204
1 1 208
1 1 214
1 1 215
1 1 220
1 1 222
1 1 225
1 1 226
1 1 233
1 1 234
1 1 239
1 1 242
1 1 243
1 1 246
1 1 249
1 1 253
1 1 255
1 1 256
1 1 262
1 1 263
1 1 264
1 1 273
1 1 275
1 1 277
1 1 281
1 1 283
1 1 290
1 1 293
1 1 295
1 1 297
1 1 307
1 1 308
1 1 309
1 1 310
1 1 312
1 1 316
1 1 317
1 1 322
1 1 332
1 1 333
1 1 334
1 1 338
1 1 341
1 1 342
1 1 344
1 1 358
1 1 359
1 1 367
1 1 369
1 1 376
1 1 390
1 1 394
1 1 399
1 1 400
1 1 405
1 1 407
1 1 426
1 1 430
1 1 433
1 1 436
1 1 441
1 1 451
1 1 452
1 1 454
1 1 455
1 1 474
1 1 475
1 1 476
1 1 481
1 1 485
1 1 489
1 1 496
1 1 499
1 1 500
1 1 503
1 1 509
1 1 510
1 1 519
1 1 521
1 1 524
1 1 532
1 1 538
1 1 539
1 1 543
1 1 544
1 1 552
1 1 553
1 1 557
1 1 559
1 1 560
1 1 562
1 1 567
1 1 570
1 1 572
1 1 579
1 1 586
1 1 592
1 1 595
1 1 597
1 1 598
1 1 600
1 1 613
1 1 615
1 1 620
1 1 627
1 1 629
1 1 630
1 1 638
1 1 641
1 1 642
1 1 645
1 1 647
1 1 648
1 1 650
1 1 653
1 1 659
1 1 661
1 1 662
1 1 679
1 1 682
1 1 684
1 1 685
1 1 686
1 1 689
1 1 694
1 1 702
1 1 703
1 1 709
1 1 712
1 1 716
1 1 717
1 1 718
1 1 721
1 1 729
1 1 731
1 1 734
1 1 742
1 1 745
1 1 747
1 1 751
1 1 757
1 1 767
1 1 768
1 1 777
1 1 796
1 1 803
1 1 804
1 1 815
1 1 817
1 1 818
1 1 824
1 1 831
1 1 840
1 1 849
1 1 853
1 1 858
1 1 861
1 1 862
1 1 863
1 1 867
1 1 871
1 1 872
1 1 881
1 1 884
1 1 888
1 1 893
1 1 902
1 1 904
1 1 905
1 1 907
1 1 910
1 1 913
1 1 917
